word,"[[15, 1], [27, 1], [39, 1], [47, 1], [48, 1], [52, 1], [53, 1], [55, 1], [57, 1], [62, 1], [68, 1], [70, 1], [76, 2], [87, 1], [90, 1], [95, 1], [101, 1], [105, 1], [108, 1], [112, 1], [116, 1], [121, 1], [128, 1], [134, 1], [137, 1], [141, 1], [143, 1], [148, 1], [151, 1], [154, 1], [165, 1], [169, 1], [178, 1], [182, 1], [197, 1], [208, 1], [213, 1], [216, 1], [224, 1], [231, 1], [233, 1], [234, 1], [236, 1], [248, 1], [256, 1], [263, 1], [267, 1], [268, 1], [271, 1], [276, 1], [301, 1], [304, 1], [308, 1], [317, 1], [323, 1], [340, 1], [346, 1], [347, 1], [348, 1], [349, 1], [361, 1], [364, 1], [381, 1], [387, 1], [388, 2], [392, 1], [405, 1], [408, 1], [412, 1], [418, 1], [422, 1], [430, 1], [434, 1], [439, 1]]"
f,"[[42, 1]]"
generalis,"[[50, 1]]"
work,"[[36, 1], [106, 1]]"
mu,"[[122, 1], [250, 1], [360, 1]]"
obvious,"[[153, 1]]"
learn,"[[188, 1], [351, 1]]"
control,"[[174, 1], [360, 1]]"
give,"[[380, 1]]"
indic,"[[205, 1]]"
high,"[[74, 1], [91, 1], [231, 1], [271, 1]]"
want,"[[11, 1], [91, 1], [104, 1], [153, 1], [175, 1], [231, 1], [241, 1], [319, 1], [398, 1]]"
occur,"[[76, 1], [208, 1]]"
cours,"[[18, 1], [26, 1], [55, 1], [71, 1], [75, 1], [124, 1], [171, 1], [200, 1]]"
multipl,"[[75, 1], [155, 1], [434, 1]]"
goal,"[[135, 1]]"
anoth,"[[294, 1], [360, 1]]"
length,"[[379, 1]]"
classifi,"[[36, 1], [140, 1], [158, 1], [220, 1], [229, 1], [240, 1], [257, 1], [281, 1], [300, 1], [307, 1], [371, 1]]"
write,"[[80, 1], [85, 1], [367, 1]]"
alway,"[[251, 1]]"
disappear,"[[431, 1]]"
answer,"[[78, 1], [138, 1]]"
perspect,"[[288, 1]]"
updat,"[[373, 1]]"
product,"[[79, 1], [99, 1], [128, 1], [224, 1], [280, 1], [295, 1], [333, 1], [367, 1], [374, 2], [377, 1], [401, 1]]"
singular,"[[71, 1]]"
may,"[[80, 1], [137, 1], [377, 1]]"
earlier,"[[147, 1]]"
fi,"[[55, 1], [356, 1], [390, 1]]"
data,"[[9, 1], [13, 1], [19, 1], [29, 1], [40, 1], [181, 1], [191, 1], [227, 1], [259, 1], [278, 1], [279, 2], [286, 1], [319, 1], [324, 1], [357, 1], [363, 1], [416, 1]]"
averag,"[[223, 1]]"
alloc,"[[9, 1]]"
attempt,"[[111, 1]]"
third,"[[399, 1]]"
correspond,"[[365, 1]]"
assign,"[[70, 1], [126, 1], [292, 1]]"
caus,"[[35, 1], [206, 1]]"
inform,"[[125, 1], [349, 1], [368, 1]]"
allow,"[[343, 1], [373, 1], [446, 1]]"
order,"[[132, 1], [215, 1]]"
talk,"[[69, 1], [260, 1], [312, 1], [421, 1], [423, 1]]"
belong,"[[110, 1], [389, 1]]"
help,"[[121, 1], [131, 1], [154, 1], [193, 1], [249, 1], [268, 1], [315, 1], [362, 1]]"
becaus,"[[1, 1], [154, 1]]"
still,"[[374, 1]]"
vari,"[[404, 1]]"
paramet,"[[11, 1], [29, 1], [44, 1], [98, 1], [200, 1], [241, 1], [360, 1]]"
1,"[[17, 1], [104, 1], [139, 1], [257, 1], [264, 1], [274, 1], [282, 1], [384, 1], [387, 1], [388, 1]]"
Q1,"[[282, 1]]"
obviou,"[[29, 1], [106, 1], [399, 1]]"
therefor,"[[48, 1], [184, 1], [237, 1], [251, 1]]"
might,"[[247, 1]]"
then,"[[198, 1], [244, 1], [332, 1], [366, 1]]"
non,"[[38, 1], [61, 1]]"
good,"[[106, 1]]"
L,"[[15, 1]]"
initi,"[[446, 1]]"
now,"[[15, 1], [21, 1], [34, 1], [35, 1], [50, 1], [80, 1], [119, 1], [143, 1], [167, 1], [188, 1], [219, 1], [226, 1], [227, 1], [258, 1], [305, 1], [309, 1], [348, 1], [362, 1], [367, 1], [377, 1], [378, 1], [382, 1], [393, 1], [418, 1], [432, 1]]"
discuss,"[[147, 1]]"
term,"[[315, 1]]"
somewher,"[[13, 1]]"
name,"[[126, 1], [267, 1]]"
simpl,"[[312, 1]]"
separ,"[[221, 1]]"
accommod,"[[123, 1], [427, 1]]"
slide,"[[32, 1], [193, 1], [371, 1], [423, 1]]"
each,"[[372, 1]]"
side,"[[385, 1]]"
mean,"[[48, 1], [228, 1], [301, 1], [308, 1], [324, 1], [409, 1], [441, 1]]"
weight,"[[56, 1], [57, 1], [59, 1], [65, 1], [67, 1], [182, 1], [186, 1], [214, 1], [248, 1], [258, 1], [284, 1], [306, 1], [315, 1], [358, 1], [365, 1]]"
idea,"[[109, 1], [286, 1], [363, 1]]"
realli,"[[210, 1], [212, 1], [238, 1], [368, 1], [417, 1]]"
expect,"[[65, 1]]"
happen,"[[40, 1], [122, 1], [338, 1]]"
event,"[[103, 1], [266, 1], [409, 1]]"
special,"[[21, 1], [229, 1], [296, 1]]"
shown,"[[243, 1]]"
